cod_postal,city,latitude,longitude
07660,Cala D'Or,39.3781,3.2348
07670,"Portocolom, Cala Marsal",39.422650000000004,3.26215
07680,"Portocristo/Port De Manacor, Cala Anguila - Cala Mendia",39.4576,3.2772
07701,Mao,39.8885,4.2658
07702,Mao,39.8885,4.2658
07703,Mao,39.8885,4.2658
07710,Sant Lluis,39.8526,4.2594
07720,"Es Castell, Cala San Esteban, Trebeluger, Son Vilar (Es Castell De Menorca)",39.8684,4.2877
07730,"San Jaime Mediterraneo (Urbanitzacio), Calas Covas, Sa Roca, Argentina, La (Urbanitzacio), Torre Soli Nou (Urbanitzacio), Son Bou (Platja), Alaior, Cala'N Porter",39.91525,3.9492125
07740,"Son Parc (Urbanitzacio), Mercadal, Es, S'Arenal D'En Castell (Menorca) (Urbanitzacio), Port D'Addaia, Covas Novas (Mercadal), Na Macaret (Urbanitzacio)",39.97085,4.020933333333333
07760,Ciutadella De Menorca,40.0011,3.8414
07800,"Eivissa, Eivissa-San Juan (Carretera), Hasta Km.1,900",38.9088,1.43065
07830,"Sant Josep De Sa Talaia (Cala Vedella), Sant Josep De Sa Talaia (Nucleo)",38.9419,1.2907
07840,"Santa Eularia Des Riu, Sa Caleta (Santa Eularia), Santa Eularia Del Riu (Buenavista) (Urbanitzacio)",38.9846,1.5340999999999998
08001,Barcelona,41.3799,2.1687
08003,Barcelona,41.3831,2.1848
08004,Barcelona,41.3722,2.1593
08005,Barcelona,41.3984,2.2005
08006,Barcelona,41.4008,2.1481
08007,Barcelona,41.3898,2.1643
08008,Barcelona,41.3937,2.1586
08009,Barcelona,41.3953,2.1698
08010,Barcelona,41.3913,2.1749
08011,Barcelona,41.3846,2.1595
08012,Barcelona,41.4023,2.157
08013,Barcelona,41.4007,2.1792
08014,Barcelona,41.376,2.1382
08015,Barcelona,41.379,2.1552
08016,Barcelona,41.4373,2.1795
08017,Barcelona,41.4093,2.1129
08018,Barcelona,41.4039,2.192
08019,Barcelona,41.4158,2.2185
08020,Barcelona,41.4245,2.2091
08021,Barcelona,41.397,2.1423
08022,Barcelona,41.407,2.1346
08023,Barcelona,41.4129,2.1454
08024,Barcelona,41.4112,2.1588
08025,Barcelona,41.4079,2.1705
08026,Barcelona,41.4118,2.1838
08027,Barcelona,41.4225,2.1856
08028,Barcelona,41.378,2.1278
08029,Barcelona,41.3868,2.1424
08030,Barcelona,41.4327,2.2058
08031,Barcelona,41.4324,2.1655
08032,Barcelona,41.4248,2.1599
08033,Barcelona,41.4551,2.1827
08034,Barcelona,41.3859,2.1066
08035,Barcelona,41.4262,2.1413
08036,Barcelona,41.3906,2.1521
08037,Barcelona,41.3998,2.1651
08038,Barcelona,41.359,2.1451
08041,Barcelona,41.4185,2.1763
08042,Barcelona,41.4434,2.1727
08100,Mollet Del Valles,41.5403,2.2131
08105,"Conreria, La (Sant Fost Campcentelles), Sant Fost De Campsentelles",41.5167,2.2333
08110,"La Vallençana, Montcada I Reixac",41.47995,2.1980500000000003
08120,La Llagosta,41.5172,2.198
08130,"Mogoda, La Florida, Santa Perpetua De Mogoda, Santiga (Santa Perpetua De Mogoda)",41.527425,2.18945
08140,"Caldes De Montbui, Can Valls-To (Urbanitzacio)",41.62695,2.17815
08150,"Parets Del Valles, Eixample, L'",41.5748,2.2331
08160,Montmelo,41.55,2.2419
08170,Montornes Del Valles,41.5333,2.2667
08172,Sant Cugat Del Valles,41.4667,2.0833
08174,Sant Cugat Del Valles,41.4667,2.0833
08181,Sentmenat,41.6098,2.1368
08184,Palau-Solita I Plegamans,41.6802,2.1723
08185,Lliça De Vall,41.5905,2.2412
08186,Lliça D'Amunt,41.6167,2.2333
08187,"Santa Eulalia De Ronçana, Rieral, El (Stª Eulalia De Ronçana)",41.65,2.2333
08190,Sant Cugat Del Valles,41.4667,2.0833
08191,Rubi,41.4923,2.033
08192,Sant Quirze Del Valles,41.5333,2.0833
08195,"Sant Cugat Del Valles, Mira-Sol (Ver Callejero Sant Cugat)",41.4667,2.0833
08197,"Valldoreix (Ver Callejero Sant Cugat), Sant Cugat Del Valles",41.4667,2.0833
08201,Sabadell,41.5458,2.1053
08202,Sabadell,41.548,2.1127
08203,Sabadell,41.5374,2.1147
08204,Sabadell,41.5274,2.1163
08206,Sabadell,41.5525,2.0898
08207,Sabadell,41.5686,2.0897
08208,Sabadell,41.5579,2.1037
08210,Barbera Del Valles,41.5159,2.1246
08211,"Castellar Del Valles, Can Carner (Residencial), Pla De La Bruguera, Sant Feliu Del Raco",41.6167,2.075
08213,Polinya,41.55,2.15
08214,Badia Del Valles,41.5965,2.0982
08221,Terrassa,41.5635,2.0127
08222,Terrassa,41.5636,2.0268
08223,Terrassa,41.5543,2.0201
08224,Terrassa,41.5601,2.0005
08225,Terrassa,41.5745,2.0079
08226,Terrassa,41.5744,2.0243
08227,"Terrassa, Torrebonica",41.5684,2.0271
08228,"Fonts, Les (Terrassa), Terrassa",41.55195,2.0295
08230,"Matadepera, Sant Llorenç (Matadepera), Pedritxes, Les",41.599,2.0265666666666666
08232,Viladecavalls,41.5558,1.9539
08233,Vacarisses,41.6043,1.92
08240,"Viladordis, Manresa",41.725,1.8448
08241,Manresa,41.7247,1.8282
08242,Manresa,41.7324,1.8229
08243,Manresa,41.7322,1.8369
08250,"Sant Joan De Vilatorrada, Sant Marti De Torroella",41.7455,1.8048
